Algorithm,Time,Score
Annealing,0.1,35
Annealing,0.1,-199
Annealing,0.1,-173
Annealing,0.1,-126
Annealing,0.1,109
Annealing,0.5,1427
Annealing,0.5,1814
Annealing,0.5,1755
Annealing,0.5,1584
Annealing,0.5,1454
Annealing,1,2540
Annealing,1,2542
Annealing,1,2401
Annealing,1,2442
Annealing,1,2380
Annealing,2,3161
Annealing,2,3217
Annealing,2,3178
Annealing,2,3098
Annealing,2,3277
Annealing,5,3792
Annealing,5,3716
Annealing,5,3760
Annealing,5,3767
Annealing,5,3815
Annealing,10,4126
Annealing,10,4174
Annealing,10,4198
Annealing,10,4123
Annealing,10,4106
Annealing,30,4203
Annealing,30,4138
Annealing,30,4276
Annealing,30,4138
Annealing,30,4185
Annealing,60,4246
Annealing,60,4191
Annealing,60,4252
Annealing,60,4217
Annealing,60,4194
Genetic,0.1,-624
Genetic,0.1,-439
Genetic,0.1,-602
Genetic,0.1,-465
Genetic,0.1,-509
Genetic,0.5,-78
Genetic,0.5,-55
Genetic,0.5,-37
Genetic,0.5,-61
Genetic,0.5,-105
Genetic,1,523
Genetic,1,544
Genetic,1,357
Genetic,1,484
Genetic,1,457
Genetic,2,1280
Genetic,2,1270
Genetic,2,1370
Genetic,2,1110
Genetic,2,1351
Genetic,5,2371
Genetic,5,2419
Genetic,5,2448
Genetic,5,2435
Genetic,5,2360
Genetic,10,3289
Genetic,10,3155
Genetic,10,3210
Genetic,10,3088
Genetic,10,3097
Genetic,30,3959
Genetic,30,3926
Genetic,30,3890
Genetic,30,3915
Genetic,30,3976
Genetic,60,4196
Genetic,60,4195
Genetic,60,4198
Genetic,60,4220
Genetic,60,4176
Hill,0.1,-598
Hill,0.1,-750
Hill,0.1,-899
Hill,0.1,-603
Hill,0.1,-923
Hill,0.5,-211
Hill,0.5,-140
Hill,0.5,-413
Hill,0.5,-502
Hill,0.5,-384
Hill,1,346
Hill,1,456
Hill,1,369
Hill,1,180
Hill,1,385
Hill,2,1270
Hill,2,1413
Hill,2,1497
Hill,2,1347
Hill,2,1444
Hill,5,2926
Hill,5,2949
Hill,5,3088
Hill,5,2934
Hill,5,3135
Hill,10,3354
Hill,10,3116
Hill,10,3282
Hill,10,3259
Hill,10,3150
Hill,30,3448
Hill,30,3482
Hill,30,3471
Hill,30,3319
Hill,30,3422
Hill,60,3550
Hill,60,3454
Hill,60,3441
Hill,60,3333
Hill,60,3485